Framework,Analyzer,AllFunctions,DeadFunctions,ClaimedDeadFunctions,TrueDeadFunctions,AliveFunctions,ClaimedAliveFunctions,TrueAliveFunctions
ampersand,static,774,420,527,287,354,247,114
ampersand,dynamic,774,420,481,420,354,293,293
ampersand,hybrid,774,420,258,237,354,516,333
angular-dart,static,19,6,12,5,13,7,6
angular-dart,dynamic,19,6,18,6,13,1,1
angular-dart,hybrid,19,6,12,5,13,7,6
angularjs_require,static,127,47,42,25,80,85,63
angularjs_require,dynamic,127,47,54,47,80,73,73
angularjs_require,hybrid,127,47,22,22,80,105,80
ariatemplates,static,472,278,163,141,194,309,172
ariatemplates,dynamic,472,278,276,270,194,196,188
ariatemplates,hybrid,472,278,129,129,194,343,194
aurelia,static,357,120,269,114,237,88,82
aurelia,dynamic,357,120,135,120,237,222,222
aurelia,hybrid,357,120,72,69,237,285,234
backbone,static,950,591,277,226,359,673,308
backbone,dynamic,950,591,704,591,359,246,246
backbone,hybrid,950,591,244,223,359,706,338
backbone_require,static,127,39,42,16,88,85,62
backbone_require,dynamic,127,39,46,39,88,81,81
backbone_require,hybrid,127,39,12,12,88,115,88
canjs,static,1105,832,308,269,273,797,234
canjs,dynamic,1105,832,653,646,273,452,266
canjs,hybrid,1105,832,224,224,273,881,273
canjs_require,static,128,55,43,28,73,85,58
canjs_require,dynamic,128,55,59,52,73,69,66
canjs_require,hybrid,128,55,23,23,73,105,73
chaplin-brunch,static,672,337,274,140,335,398,201
chaplin-brunch,dynamic,672,337,659,337,335,13,13
chaplin-brunch,hybrid,672,337,265,140,335,407,210
closure,static,591,415,243,217,176,348,150
closure,dynamic,591,415,422,415,176,169,169
closure,hybrid,591,415,210,209,176,381,175
dijon,static,834,532,326,233,302,508,209
dijon,dynamic,834,532,541,532,302,293,293
dijon,hybrid,834,532,222,219,302,612,299
dojo,static,1074,866,533,433,208,541,108
dojo,dynamic,1074,866,566,560,208,508,202
dojo,hybrid,1074,866,212,212,208,862,208
duel,static,100,46,58,40,54,42,36
duel,dynamic,100,46,68,46,54,32,32
duel,hybrid,100,46,56,40,54,44,38
enyo_backbone,static,20,5,11,4,15,9,8
enyo_backbone,dynamic,20,5,11,5,15,9,9
enyo_backbone,hybrid,20,5,2,2,15,18,15
exoskeleton,static,256,154,119,84,102,137,67
exoskeleton,dynamic,256,154,160,154,102,96,96
exoskeleton,hybrid,256,154,69,69,102,187,102
flight,static,127,51,42,27,76,85,61
flight,dynamic,127,51,48,42,76,79,70
flight,hybrid,127,51,13,13,76,114,76
jquery,static,869,569,310,228,300,559,218
jquery,dynamic,869,569,566,560,300,303,294
jquery,hybrid,869,569,208,208,300,661,300
knockoutjs,static,560,345,146,114,215,414,183
knockoutjs,dynamic,560,345,332,325,215,228,208
knockoutjs,hybrid,560,345,102,102,215,458,215
knockoutjs_require,static,128,52,43,27,76,85,60
knockoutjs_require,dynamic,128,52,59,52,76,69,69
knockoutjs_require,hybrid,128,52,24,24,76,104,76
lavaca_require,static,981,885,426,397,96,555,67
lavaca_require,dynamic,981,885,869,863,96,112,90
lavaca_require,hybrid,981,885,374,374,96,607,96
mithril,static,136,84,119,79,52,17,12
mithril,dynamic,136,84,90,84,52,46,46
mithril,hybrid,136,84,60,60,52,76,52
olives,static,533,348,524,347,185,9,8
olives,dynamic,533,348,354,348,185,179,179
olives,hybrid,533,348,270,270,185,263,185
polymer,static,19,6,12,5,13,7,6
polymer,dynamic,19,6,13,6,13,6,6
polymer,hybrid,19,6,3,3,13,16,13
puremvc,static,229,108,218,107,121,11,10
puremvc,dynamic,229,108,115,108,121,114,114
puremvc,hybrid,229,108,70,70,121,159,121
ractive,static,932,624,146,142,308,786,304
ractive,dynamic,932,624,507,501,308,425,302
ractive,hybrid,932,624,138,138,308,794,308
rappidjs,static,867,503,289,197,364,578,272
rappidjs,dynamic,867,503,623,494,364,244,235
rappidjs,hybrid,867,503,192,178,364,675,350
react,static,1848,933,1240,588,915,608,263
react,dynamic,1848,933,1431,933,915,417,417
react,hybrid,1848,933,939,577,915,909,553
react-alt,static,2033,1025,1414,672,1008,619,266
react-alt,dynamic,2033,1025,1532,1025,1008,501,501
react-alt,hybrid,2033,1025,1007,636,1008,1026,637
riotjs,static,170,49,34,17,121,136,104
riotjs,dynamic,170,49,65,49,121,105,105
riotjs,hybrid,170,49,11,10,121,159,120
sapui5,static,16,4,9,3,12,7,6
sapui5,dynamic,16,4,9,4,12,7,7
sapui5,hybrid,16,4,1,1,12,15,12
serenadejs,static,400,235,222,160,165,178,103
serenadejs,dynamic,400,235,241,235,165,159,159
serenadejs,hybrid,400,235,90,90,165,310,165
somajs,static,342,170,144,77,172,198,105
somajs,dynamic,342,170,177,170,172,165,165
somajs,hybrid,342,170,52,52,172,290,172
somajs_require,static,128,48,43,26,80,85,63
somajs_require,dynamic,128,48,55,48,80,73,73
somajs_require,hybrid,128,48,23,23,80,105,80
spine,static,999,754,364,312,245,635,193
spine,dynamic,999,754,760,754,245,239,239
spine,hybrid,999,754,308,308,245,691,245
troopjs_require,static,130,43,44,27,87,86,70
troopjs_require,dynamic,130,43,58,43,87,72,72
troopjs_require,hybrid,130,43,25,24,87,105,86
typescript-angular,static,1440,822,655,436,618,785,399
typescript-angular,dynamic,1440,822,856,804,618,584,566
typescript-angular,hybrid,1440,822,412,397,618,1028,603
typescript-backbone,static,1243,844,422,340,399,821,317
typescript-backbone,dynamic,1243,844,944,844,399,299,299
typescript-backbone,hybrid,1243,844,351,333,399,892,381
typescript-react,static,1105,444,1033,426,661,72,54
typescript-react,dynamic,1105,444,567,444,661,538,538
typescript-react,hybrid,1105,444,301,247,661,804,607
vanilla-es6,static,80,11,35,7,69,45,41
vanilla-es6,dynamic,80,11,53,11,69,27,27
vanilla-es6,hybrid,80,11,20,4,69,60,53
vanilladart,static,19,5,12,4,14,7,6
vanilladart,dynamic,19,5,18,5,14,1,1
vanilladart,hybrid,19,5,12,4,14,7,6
vanillajs,static,131,15,70,13,116,61,59
vanillajs,dynamic,131,15,81,15,116,50,50
vanillajs,hybrid,131,15,41,11,116,90,86
vue,static,622,288,239,147,334,383,242
vue,dynamic,622,288,333,288,334,289,289
vue,hybrid,622,288,119,101,334,503,316
